gate,invariante,classe_de_bypass,mutantes_esperados,mutantes_executados,status,evidencia
audit_canonical_source_scope,URLs referenciadas completas,URL domínio catálogo ou ledger omitido,2,0,BLOQUEADO,raízes externas ausentes
audit_canonical_source_scope,linha material,URL final recibo status ou hash ausente,2,0,BLOQUEADO,raízes externas ausentes
audit_public_set_algebra,projeção exata de publishable,publishable ausente da superfície,2,0,BLOQUEADO,raízes externas ausentes
audit_public_set_algebra,projeção exata de publishable,não publishable exposto,2,0,BLOQUEADO,raízes externas ausentes
audit_public_set_algebra,zero estado inseguro,A_VALIDAR A_REVALIDAR ou BLOQUEADO público,2,0,BLOQUEADO,raízes externas ausentes
audit_public_set_algebra,histórico somente comprovado,histórico sem prova resolvível,2,0,BLOQUEADO,raízes externas ausentes
audit_public_set_algebra,interseção vazia,quarentena visível,2,0,BLOQUEADO,raízes externas ausentes
audit_quarantine_fingerprints,zero vazamento,ID direto,2,0,BLOQUEADO,raízes externas ausentes
audit_quarantine_fingerprints,zero vazamento,literal copiado,2,0,BLOQUEADO,raízes externas ausentes
audit_quarantine_fingerprints,zero vazamento,texto normalizado equivalente,2,0,BLOQUEADO,raízes externas ausentes
audit_quarantine_fingerprints,zero vazamento,shingle ou n-grama,2,0,BLOQUEADO,raízes externas ausentes
audit_quarantine_fingerprints,zero vazamento,hash ou fingerprint,2,0,BLOQUEADO,raízes externas ausentes
audit_quarantine_fingerprints,zero vazamento,cópia reidentificada sem ID,2,0,BLOQUEADO,raízes externas ausentes
audit_subagent_independence,seis tasks distintas,menos de três agentes por onda,2,0,BLOQUEADO,export nativo indisponível
audit_subagent_independence,prompt cego,fork_turns diferente de none,2,0,BLOQUEADO,export nativo indisponível
audit_subagent_independence,isolamento de leitura,worktree gravável ou compartilhado,2,0,BLOQUEADO,mesma conta filesystem
audit_subagent_independence,prova negativa,leitura direta ou indireta de artefato de outra onda,2,0,BLOQUEADO,export nativo indisponível
audit_subagent_independence,artefatos confrontáveis,session export ou tool calls ausentes,2,0,BLOQUEADO,export nativo indisponível
audit_publication,PR obrigatório,PR ausente draft não pronta ou diff não classificado,2,0,BLOQUEADO,publicação ainda não iniciada
audit_publication,CI no SHA exato,zero checks check vermelho ou SHA divergente,2,0,BLOQUEADO,publicação ainda não iniciada
audit_publication,merge controlado,main divergente ou merge ausente,2,0,BLOQUEADO,publicação ainda não iniciada
audit_publication,Pages no merge,run ausente vermelho ou commit antigo,2,0,BLOQUEADO,publicação ainda não iniciada
audit_publication,higiene Git,worktree sujo ou arquivo sem autoria,2,0,BLOQUEADO,publicação ainda não iniciada
audit_public_http_hashes,HTTP igual ao merge,status diferente de 200,2,0,BLOQUEADO,publicação ainda não iniciada
audit_public_http_hashes,HTTP igual ao merge,hash da raiz divergente,2,0,BLOQUEADO,publicação ainda não iniciada
audit_public_http_hashes,HTTP igual ao merge,artefato alterado ausente ou divergente,2,0,BLOQUEADO,publicação ainda não iniciada
audit_public_http_hashes,Pages atual,cache ou commit antigo,2,0,BLOQUEADO,publicação ainda não iniciada
audit_public_http_hashes,fontes oficiais ainda válidas,refetch ausente status inválido ou corpo divergente,2,0,BLOQUEADO,publicação ainda não iniciada
